ISO3	Year	Conflict Stock Displacement	Conflict Internal Displacements	Conflict Internal Displacements (Raw)	Disaster Internal Displacements (Raw)	Disaster Stock Displacement (Raw)
MEX	2011	162000	26000	26500	546795	
MKD	2011	640		0		
MMR	2011	450000	50000	50000	13152	
NER	2011	11000		0	28175	
NGA	2011		65000	65000	6300	
NPL	2011	50000		0	46476	
PAK	2011	900000	190000	190000	300000	
PER	2011	150000		0	2747	
PHL	2011	46000	97000	97000	2499241	
PSE	2011	160000	1100	1100		
SDN	2011	2200000	115000	115000	18804	
SEN	2011	24000		0	1640	
SOM	2011	1459000	100000	100000		
SRB	2011	225000		0		
SSD	2011	350000	350000	350000		
SYR	2011	600000	156000	156000		
TCD	2011	126000		0		
TGO	2011	10000		0		
THA	2011	35000	50000	50000	1644965	
TKM	2011	4000		0		
TLS	2011	900	1000	1000		
TUR	2011	1000000		0	252000	
UGA	2011	30000		0	6400	
UZB	2011	3400		0	0	
XKX	2011	18000		0		
YEM	2011	464000	175000	175000		
AFG	2010	352000	102000	102000	71000	
ARM	2010	8400		0		
AZE	2010	593000		0	31665	
BDI	2010	100000		0	1500	
BGD	2010	426000	3500	3500	569000	
BIH	2010	113000		0	0	
CAF	2010	192000	24000	24000	0	
CIV	2010	522000	2700	2736	0	
COD	2010	1700000	400000	400000	98230	
COG	2010	7800		0		
COL	2010	5196000	280000	280041	3000000	
CYP	2010	208000		0		
ERI	2010	10000		0		
ETH	2010	300000		0	10000	
GEO	2010	257000		0		
HRV	2010	2300		0	0	
IDN	2010	200000	35000	35000	409387	
IND	2010	650000	106000	106500	1411285	
IRQ	2010	2800000		0		
KEN	2010	250000		0	53786	
KGZ	2010	75000	300000	300000	0	
LAO	2010		4400	4400		
LBN	2010	75000		0		
LBR	2010	23000		0	0	
LKA	2010	327000		0	141414	
MEX	2010	123000	115000	115000	900300	
MKD	2010	640		0		
MMR	2010	446000	73000	73000	105993	
NER	2010	11000		0	205355	
NGA	2010		5000	5000	560000	
NPL	2010	50000		0	0	
PAK	2010	980000	400000	400000	11060000	
PER	2010	150000		0	10000	
PHL	2010	15000	70000	70000	1001991	
PSE	2010	160000	600	600	500	
RUS	2010	78000		0	22950	
SDN	2010	4800000	490000	490000	20000	
SEN	2010	24000	4000	4000	7802	
SOM	2010	1500000	300000	300000	5200	
SRB	2010	225000		0	4470	
SYR	2010	433000		0		
TCD	2010	171000		0	70000	
TGO	2010	10000		0	50000	
TKM	2010	4000		0		
TLS	2010	400		0		
TUR	2010	1000000		0	200	
UGA	2010	166000		0	0	
UZB	2010	3400		0		
XKX	2010	18000		0		
YEM	2010	226000	176000	176000	1000	
AFG	2009	297000		0	28435	
ARM	2009	8400		0		
AZE	2009	586000		0	200	
BDI	2009	100000		0	0	
BGD	2009	426000	5000	5000	1342000	
BIH	2009	114000		0	0	
CAF	2009	162000	15000	15000	14835	
CIV	2009	342000	500	500	10000	
COD	2009	1900000	1000000	1000000	125	
COG	2009	7800		0		
COL	2009	4916000	286000	286389	9093	
CYP	2009	201000		0		
ERI	2009	10000		0		
ETH	2009	350000	200000	200000		
GEO	2009	240000		0	0	
HRV	2009	2400		0		
IDN	2009	70000	500	500	853990	
IND	2009	500000	33000	33000	5304000	
IRQ	2009	2764000		0	0	
KEN	2009	250000		0	91686	
LBN	2009	90000		0		
LBR	2009	23000		0	0	
LKA	2009	400000	280000	280000	362885	
MEX	2009	8000		0	375000	
MKD	2009	640		0		
MMR	2009	470000	75000	75000	2521	
NER	2009	11000		0	5560	
NGA	2009		5000	5000	140000	
NPL	2009	60000	5000	5000	18300	
PAK	2009	1230000	3000000	3000000	84290	
PER	2009	150000		0	45975	
PHL	2009	125000	400000	400000	2062402	
PSE	2009	160000	100000	100000		
RUS	2009	80000		0		
SDN	2009	4900000	530000	530000	80000	
SEN	2009	24000	1000	1000	264000	
SOM	2009	1500000	400000	400000	0	
SRB	2009	225000		0	0	
SYR	2009	433000		0		
TCD	2009	168000		0	5795	
TGO	2009	10000		0		
TKM	2009	4000		0		
TLS	2009	400	100	100		
TUR	2009	1000000		0	20000	
UGA	2009	435000		0		
UZB	2009	3400		0		
XKX	2009	20000		0		
YEM	2009	175000	150000	150000		
ZWE	2009		15000	15000		
